country,regime,mean,sem,n
US,pre_1990,-0.10151185304159602,0.004034071470451428,120
US,great_moderation,-0.08450224318740988,0.0041006914605793525,75
US,gfc_to_covid,-0.10728844363191355,0.006567421562616952,40
US,post_covid,-0.056154174225256454,0.01366134610774066,25
Canada,pre_1990,-0.3496544004705605,0.008945813918510966,95
Canada,great_moderation,-0.3683531535130274,0.006642522755531805,75
Canada,gfc_to_covid,-0.34391746313332733,0.003963451628008243,40
Canada,post_covid,-0.3520967129119027,0.016039659706705282,25
