relationship,country,break_date
2 · Phillips Curve — Unemployment vs CPI inflation,US,1965-12-31
2 · Phillips Curve — Unemployment vs CPI inflation,US,1992-03-31
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,1973-06-30
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,1983-06-30
2 · Phillips Curve — Unemployment vs CPI inflation,Canada,1992-03-31
4 · CPI inflation vs short-term policy rate,US,2022-12-31
4 · CPI inflation vs short-term policy rate,Canada,2001-03-31
5 · Yield-curve slope (10Y-2Y) vs GDP growth,US,1999-12-31
6 · Energy prices vs CPI inflation,Canada,1991-12-31
